jaar;inkomen
1969;10,3
1970;10,9
1971;11,2
1972;11,4
1973;11,6
1974;11,8
1975;12,2
1976;12,6
1977;12,9
1978;13,4
1979;13,7
1980;13,6
1981;13,5
1982;13,5
1983;13,2
1984;13,3
1985;13,5
1986;14,2
1987;14,5
1988;14,6
1989;15,4
1990;16,5
1991;16,1
1992;16,5
1993;16,0
1994;16,4
1995;16,8
1996;17,3
1997;18,0
1998;18,6
1999;19,0
2000;19,3
2001;20,4
2002;20,2
2003;19,8
2004;19,8
2005;19,6
2006;19,8
2007;20,2
2008;20,3
2009;20,4
2010;20,3
2011;20,3
2012;20,2
2013;19,9
2014;20,2
2015;20,4
2016;20,8
2017;20,9
2018;21,3
2019;21,5
2020;21,9